b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.388	0.719	0.401	0.241	0.386	0.386	0.135	0.042	0.179	0.055	0.057	0.033	0.027	0.028	3.028	5.719	3.136	1.882	3.01	3.006	1.054
0.388	0.719	0.401	0.241	0.386	0.386	0.135	0.042	0.179	0.055	0.057	0.033	0.027	0.028	3.028	5.719	3.136	1.882	3.01	3.006	1.054
0.384	0.725	0.396	0.241	0.382	0.385	0.136	0.042	0.179	0.055	0.057	0.034	0.028	0.028	2.999	5.774	3.094	1.886	2.978	2.996	1.057
0.384	0.725	0.396	0.241	0.382	0.385	0.136	0.042	0.179	0.055	0.057	0.034	0.028	0.028	2.999	5.774	3.094	1.886	2.978	2.996	1.057
0.387	0.724	0.401	0.238	0.382	0.387	0.136	0.042	0.179	0.054	0.057	0.034	0.027	0.028	3.022	5.765	3.132	1.86	2.98	3.013	1.06
0.406	0.708	0.401	0.241	0.383	0.387	0.136	0.041	0.179	0.054	0.056	0.034	0.027	0.028	3.167	5.639	3.135	1.885	2.983	3.012	1.058
0.407	0.704	0.403	0.242	0.379	0.384	0.135	0.041	0.181	0.055	0.056	0.034	0.028	0.028	3.172	5.605	3.152	1.891	2.952	2.992	1.055
0.399	0.71	0.402	0.244	0.379	0.385	0.135	0.042	0.181	0.054	0.056	0.033	0.027	0.028	3.117	5.652	3.142	1.907	2.956	2.999	1.055
0.399	0.71	0.402	0.244	0.379	0.385	0.135	0.042	0.181	0.054	0.056	0.033	0.027	0.028	3.117	5.652	3.142	1.907	2.956	2.999	1.055
0.413	0.715	0.4	0.239	0.374	0.385	0.136	0.042	0.181	0.053	0.055	0.033	0.028	0.028	3.22	5.693	3.124	1.865	2.917	2.995	1.059
0.414	0.713	0.4	0.236	0.377	0.385	0.137	0.041	0.18	0.053	0.055	0.034	0.028	0.028	3.231	5.675	3.124	1.848	2.941	2.998	1.066
0.414	0.713	0.4	0.236	0.377	0.385	0.137	0.041	0.18	0.053	0.055	0.034	0.028	0.028	3.231	5.675	3.124	1.848	2.941	2.998	1.066
0.401	0.718	0.402	0.238	0.379	0.384	0.138	0.041	0.181	0.053	0.055	0.033	0.028	0.028	3.133	5.719	3.144	1.861	2.953	2.987	1.077
0.401	0.718	0.402	0.238	0.379	0.384	0.138	0.041	0.181	0.053	0.055	0.033	0.028	0.028	3.133	5.719	3.144	1.861	2.953	2.987	1.077
0.411	0.714	0.4	0.239	0.378	0.382	0.137	0.041	0.181	0.054	0.055	0.033	0.028	0.028	3.211	5.686	3.13	1.865	2.943	2.976	1.067
0.411	0.714	0.4	0.239	0.378	0.382	0.137	0.041	0.181	0.054	0.055	0.033	0.028	0.028	3.211	5.686	3.13	1.865	2.943	2.976	1.067
0.411	0.714	0.4	0.239	0.378	0.382	0.137	0.041	0.181	0.054	0.055	0.033	0.028	0.028	3.211	5.686	3.13	1.865	2.943	2.976	1.067
0.412	0.72	0.394	0.235	0.38	0.387	0.136	0.041	0.18	0.053	0.056	0.034	0.027	0.028	3.218	5.733	3.082	1.834	2.959	3.017	1.062
0.413	0.719	0.394	0.236	0.381	0.388	0.137	0.04	0.179	0.053	0.056	0.034	0.027	0.027	3.219	5.723	3.079	1.844	2.968	3.02	1.068
0.417	0.713	0.394	0.238	0.379	0.394	0.138	0.04	0.18	0.053	0.057	0.034	0.027	0.027	3.25	5.678	3.081	1.859	2.956	3.066	1.072
0.418	0.709	0.397	0.239	0.38	0.389	0.137	0.041	0.179	0.052	0.057	0.034	0.027	0.028	3.262	5.641	3.107	1.869	2.963	3.031	1.064
0.418	0.709	0.397	0.239	0.38	0.389	0.137	0.041	0.179	0.052	0.057	0.034	0.027	0.028	3.262	5.641	3.107	1.869	2.963	3.031	1.064
0.417	0.719	0.396	0.233	0.38	0.391	0.136	0.04	0.179	0.051	0.056	0.034	0.027	0.028	3.256	5.726	3.094	1.818	2.96	3.046	1.057
0.424	0.715	0.395	0.232	0.377	0.39	0.136	0.041	0.178	0.051	0.058	0.034	0.028	0.028	3.31	5.691	3.086	1.815	2.942	3.034	1.057
0.419	0.708	0.401	0.231	0.38	0.39	0.136	0.041	0.178	0.052	0.057	0.034	0.028	0.028	3.266	5.633	3.13	1.809	2.96	3.035	1.06
0.419	0.71	0.397	0.23	0.388	0.387	0.136	0.041	0.178	0.053	0.057	0.035	0.027	0.028	3.272	5.654	3.103	1.802	3.023	3.013	1.06
0.437	0.703	0.401	0.231	0.387	0.388	0.136	0.043	0.179	0.052	0.057	0.034	0.026	0.027	3.413	5.594	3.137	1.804	3.018	3.018	1.058
0.431	0.701	0.402	0.234	0.387	0.391	0.136	0.042	0.179	0.053	0.057	0.034	0.026	0.027	3.364	5.578	3.143	1.834	3.017	3.047	1.056
0.43	0.699	0.405	0.231	0.388	0.391	0.136	0.042	0.18	0.053	0.056	0.033	0.027	0.027	3.358	5.564	3.169	1.806	3.025	3.045	1.059
0.427	0.703	0.403	0.233	0.387	0.391	0.136	0.042	0.179	0.052	0.056	0.033	0.026	0.027	3.336	5.596	3.153	1.821	3.016	3.046	1.057
0.425	0.704	0.404	0.233	0.383	0.393	0.136	0.042	0.18	0.054	0.055	0.033	0.026	0.027	3.314	5.607	3.158	1.825	2.987	3.057	1.056
0.414	0.7	0.407	0.235	0.382	0.392	0.135	0.041	0.18	0.054	0.056	0.035	0.027	0.027	3.227	5.576	3.179	1.842	2.978	3.056	1.052
0.419	0.702	0.406	0.232	0.379	0.391	0.136	0.041	0.181	0.054	0.056	0.035	0.027	0.028	3.269	5.589	3.174	1.818	2.958	3.044	1.06
0.419	0.702	0.406	0.232	0.379	0.391	0.136	0.041	0.181	0.054	0.056	0.035	0.027	0.028	3.269	5.589	3.174	1.818	2.958	3.044	1.06
0.416	0.703	0.403	0.235	0.38	0.393	0.136	0.04	0.182	0.053	0.057	0.035	0.027	0.028	3.247	5.599	3.15	1.834	2.965	3.059	1.059
0.406	0.708	0.401	0.236	0.379	0.391	0.137	0.04	0.181	0.054	0.057	0.035	0.028	0.028	3.165	5.637	3.131	1.846	2.955	3.041	1.064
0.405	0.71	0.401	0.232	0.381	0.384	0.137	0.042	0.179	0.054	0.058	0.036	0.029	0.029	3.159	5.651	3.139	1.816	2.971	2.992	1.067
0.407	0.709	0.398	0.237	0.381	0.386	0.137	0.042	0.178	0.056	0.058	0.035	0.028	0.029	3.18	5.647	3.112	1.852	2.968	3.004	1.066
0.402	0.713	0.396	0.237	0.38	0.381	0.137	0.042	0.178	0.055	0.058	0.035	0.029	0.029	3.14	5.672	3.099	1.854	2.959	2.97	1.064
0.397	0.72	0.392	0.239	0.381	0.38	0.136	0.042	0.178	0.056	0.059	0.034	0.029	0.03	3.1	5.729	3.067	1.866	2.969	2.963	1.061
0.409	0.715	0.385	0.24	0.385	0.38	0.137	0.047	0.18	0.056	0.059	0.035	0.029	0.03	3.197	5.691	3.009	1.88	3.004	2.96	1.065
0.417	0.716	0.385	0.238	0.379	0.383	0.137	0.046	0.179	0.056	0.06	0.035	0.029	0.029	3.257	5.699	3.014	1.86	2.951	2.985	1.067
0.417	0.714	0.383	0.238	0.379	0.386	0.137	0.046	0.18	0.055	0.06	0.035	0.029	0.029	3.259	5.682	2.993	1.863	2.951	3.008	1.071
0.426	0.709	0.386	0.239	0.378	0.387	0.137	0.047	0.181	0.055	0.06	0.036	0.029	0.029	3.328	5.644	3.015	1.87	2.948	3.018	1.069
0.429	0.706	0.385	0.238	0.378	0.39	0.136	0.047	0.181	0.055	0.06	0.036	0.028	0.029	3.349	5.624	3.008	1.863	2.95	3.039	1.062
0.429	0.706	0.385	0.238	0.378	0.39	0.136	0.047	0.181	0.055	0.06	0.036	0.028	0.029	3.349	5.624	3.008	1.863	2.95	3.039	1.062
0.423	0.706	0.388	0.238	0.375	0.391	0.136	0.046	0.181	0.055	0.06	0.036	0.029	0.029	3.307	5.621	3.032	1.863	2.925	3.043	1.059
0.429	0.706	0.389	0.236	0.376	0.389	0.136	0.046	0.181	0.054	0.06	0.036	0.029	0.029	3.353	5.623	3.04	1.844	2.93	3.029	1.059
0.429	0.706	0.389	0.236	0.376	0.389	0.136	0.046	0.181	0.054	0.06	0.036	0.029	0.029	3.353	5.623	3.04	1.844	2.93	3.029	1.059
0.436	0.704	0.387	0.233	0.379	0.39	0.137	0.045	0.18	0.054	0.06	0.036	0.029	0.029	3.4	5.607	3.028	1.824	2.954	3.036	1.069
0.44	0.705	0.387	0.233	0.378	0.391	0.139	0.045	0.18	0.054	0.06	0.036	0.029	0.029	3.433	5.61	3.026	1.82	2.947	3.043	1.084
0.439	0.702	0.384	0.235	0.383	0.389	0.139	0.045	0.18	0.054	0.061	0.036	0.029	0.029	3.431	5.588	3.005	1.836	2.983	3.027	1.081
0.439	0.702	0.384	0.235	0.383	0.389	0.139	0.045	0.18	0.054	0.061	0.036	0.029	0.029	3.431	5.588	3.005	1.836	2.983	3.027	1.081
0.421	0.703	0.394	0.238	0.38	0.383	0.138	0.045	0.181	0.054	0.06	0.035	0.029	0.029	3.29	5.601	3.078	1.861	2.966	2.982	1.075
0.421	0.703	0.394	0.238	0.38	0.383	0.138	0.045	0.181	0.054	0.06	0.035	0.029	0.029	3.29	5.601	3.078	1.861	2.966	2.982	1.075
0.417	0.703	0.396	0.236	0.382	0.38	0.139	0.045	0.182	0.053	0.06	0.036	0.029	0.029	3.252	5.599	3.096	1.847	2.975	2.962	1.082
0.421	0.701	0.395	0.231	0.385	0.384	0.138	0.043	0.181	0.054	0.06	0.036	0.029	0.029	3.29	5.582	3.088	1.806	3.004	2.988	1.078
0.413	0.704	0.395	0.233	0.384	0.384	0.138	0.044	0.182	0.054	0.061	0.036	0.029	0.029	3.227	5.605	3.085	1.821	2.993	2.988	1.071
0.416	0.701	0.397	0.227	0.379	0.387	0.137	0.043	0.183	0.054	0.061	0.037	0.03	0.03	3.246	5.585	3.103	1.78	2.958	3.015	1.064
0.416	0.701	0.397	0.227	0.379	0.387	0.137	0.043	0.183	0.054	0.061	0.037	0.03	0.03	3.246	5.585	3.103	1.78	2.958	3.015	1.064
0.422	0.703	0.396	0.229	0.378	0.386	0.136	0.043	0.183	0.053	0.061	0.036	0.03	0.03	3.293	5.601	3.094	1.79	2.948	3.005	1.061
